Study_Hours,Grade
4.2,56
10.0,96
7.8,81
6.5,65
2.1,39
2.1,41
1.1,38
9.2,89
6.5,69
7.6,78
0.7,33
10.2,100
8.8,87
2.6,46
2.3,42
2.3,45
3.5,48
5.7,65
4.8,58
3.4,44
6.6,74
1.9,40
3.4,49
4.2,54
5.1,57
8.4,84
2.5,42
5.6,63
6.4,71
1.0,34
6.6,79
2.2,41
1.2,35
10.0,97
10.2,92
8.6,87
3.5,50
1.5,44
7.3,77
4.9,61
1.7,37
5.5,61
0.8,35
9.6,97
3.1,50
7.1,73
3.6,56
5.7,61
6.0,70
2.3,49
10.2,95
8.3,83
9.9,97
9.4,91
6.5,66
9.7,95
1.4,31
2.5,45
1.0,29
3.8,58
4.4,54
3.2,47
8.8,91
4.1,50
3.3,50
5.9,72
1.9,33
8.5,87
1.2,35
10.4,100
8.2,80
2.5,38
0.6,31
8.7,89
7.6,81
7.8,82
8.2,82
1.2,34
4.1,56
1.7,35
9.1,97
6.7,75
3.8,48
1.1,35
3.6,48
3.8,55
7.8,85
6.9,72
9.4,96
5.2,64
1.7,40
7.6,86
8.1,82
6.1,66
8.2,81
5.4,61
5.7,66
4.8,61
0.8,32
1.6,39
